Date,ZTS
2013-02-01,29.46077537536621
2013-02-04,29.47027969360352
2013-02-05,29.48927879333496
2013-02-06,29.479778289794922
2013-02-07,30.40131950378418
2013-02-08,31.39886474609375
2013-02-11,31.598373413085934
2013-02-12,32.054386138916016
2013-02-13,31.873882293701172
2013-02-14,31.60787773132324
2013-02-15,32.282398223876946
2013-02-19,32.14939498901367
2013-02-20,31.08534812927246
2013-02-21,30.9333438873291
2013-02-22,30.96185111999512
2013-02-25,30.46781921386719
2013-02-26,30.439327239990234
2013-02-27,30.705337524414066
2013-02-28,31.77888107299805
2013-03-01,32.871421813964844
2013-03-04,32.63391876220703
2013-03-05,32.57692337036133
2013-03-06,32.158889770507805
2013-03-07,32.83343505859375
2013-03-08,32.38690948486328
2013-03-11,32.472412109375
2013-03-12,32.13039016723633
2013-03-13,32.30141067504883
2013-03-14,32.909427642822266
2013-03-15,31.76937294006348
2013-03-18,31.199350357055664
2013-03-19,31.161340713500977
2013-03-20,31.83588218688965
2013-03-21,31.797874450683594
2013-03-22,31.46537208557129
2013-03-25,30.838340759277344
2013-03-26,30.88583564758301
2013-03-27,31.10434913635254
2013-03-28,31.731386184692386
2013-04-01,30.96185111999512
2013-04-02,30.92384147644043
2013-04-03,30.904844284057614
2013-04-04,30.249309539794922
2013-04-05,30.363317489624023
2013-04-08,31.275354385375977
2013-04-09,31.76937294006348
2013-04-10,31.49387359619141
2013-04-11,31.50337028503418
2013-04-12,31.56987190246582
2013-04-15,30.62932777404785
2013-04-16,31.55086326599121
2013-04-17,31.24685478210449
2013-04-18,30.847835540771484
2013-04-19,31.07584953308105
2013-04-22,31.02834129333496
2013-04-23,30.11630439758301
2013-04-24,29.090259552001953
2013-04-25,29.97379875183105
2013-04-26,31.00934600830078
2013-04-29,31.09025573730469
2013-04-30,31.432958602905273
2013-05-01,31.78518486022949
2013-05-02,31.680458068847656
2013-05-03,31.61382102966309
2013-05-06,31.356801986694336
2013-05-07,31.299694061279297
2013-05-08,31.66142654418945
2013-05-09,31.937484741210934
2013-05-10,31.585268020629886
2013-05-13,31.45199203491211
2013-05-14,31.490079879760746
2013-05-15,31.21401405334473
2013-05-16,31.78518486022949
2013-05-17,32.27066802978516
2013-05-20,32.08979034423828
2013-05-21,31.45199203491211
2013-05-22,31.937484741210934
2013-05-23,31.261606216430664
2013-05-24,31.851816177368164
2013-05-28,32.613353729248054
2013-05-29,31.3663272857666
2013-05-30,30.69044685363769
2013-05-31,30.46198463439941
2013-06-03,31.175933837890625
2013-06-04,30.842761993408203
2013-06-05,30.62381362915039
2013-06-06,30.538143157958984
2013-06-07,29.986013412475586
2013-06-10,30.47150421142578
2013-06-11,30.17639923095703
2013-06-12,30.01457023620605
2013-06-13,29.671876907348636
2013-06-14,29.31966209411621
2013-06-17,29.471967697143555
2013-06-18,29.681396484375
2013-06-19,29.510046005249023
2013-06-20,28.73897933959961
2013-06-21,29.129268646240234
2013-06-24,28.91984558105469
2013-06-25,29.97649574279785
2013-06-26,29.48149108886719
2013-06-27,29.38629913330078
2013-06-28,29.405336380004886
2013-07-01,29.13879203796387
2013-07-02,28.27252960205078
2013-07-03,27.87271499633789
2013-07-05,28.71993827819824
2013-07-08,29.45293045043945
2013-07-09,29.49100685119629
2013-07-10,29.54812431335449
2013-07-11,29.43389320373535
2013-07-12,29.84322166442871
2013-07-15,30.06216812133789
2013-07-16,29.662357330322266
2013-07-17,29.50052261352539
2013-07-18,29.33869743347168
2013-07-19,28.78657341003418
2013-07-22,28.815126419067386
2013-07-23,28.615222930908203
2013-07-24,28.46291160583496
2013-07-25,29.05312156677246
2013-07-26,28.967443466186523
2013-07-29,28.643787384033203
2013-07-30,28.658090591430664
2013-07-31,28.43867301940918
2013-08-01,28.772571563720703
2013-08-02,29.51669311523437
2013-08-05,29.81243133544922
2013-08-06,29.69795227050781
2013-08-07,29.802888870239254
2013-08-08,29.802888870239254
2013-08-09,29.48806953430176
2013-08-12,28.934749603271484
2013-08-13,29.04923248291016
2013-08-14,28.75349426269531
2013-08-15,28.639013290405273
2013-08-16,28.61992835998535
2013-08-19,28.495912551879886
2013-08-20,28.83935165405273
2013-08-21,28.47683906555176
2013-08-22,28.495912551879886
2013-08-23,28.810733795166016
2013-08-26,28.42913246154785
2013-08-27,27.856733322143555
2013-08-28,28.209716796875
2013-08-29,28.114315032958984
2013-08-30,27.80903434753418
2013-09-03,28.076156616210934
2013-09-04,28.32419586181641
2013-09-05,28.934749603271484
2013-09-06,29.20187187194824
2013-09-09,29.18279457092285
2013-09-10,29.52623176574707
2013-09-11,29.88874816894531
2013-09-12,29.650251388549805
2013-09-13,29.62162780761719
2013-09-16,30.384828567504886
2013-09-17,30.89044570922852
2013-09-18,31.214805603027344
2013-09-19,31.014461517333984
2013-09-20,30.709190368652344
2013-09-23,30.12725067138672
2013-09-24,30.03185272216797
2013-09-25,29.63117027282715
2013-09-26,30.12725067138672
2013-09-27,29.717029571533203
2013-09-30,29.688411712646484
2013-10-01,30.31804656982422
2013-10-02,30.527931213378906
2013-10-03,30.03185272216797
2013-10-04,30.57562828063965
2013-10-07,30.46114730834961
2013-10-08,30.079547882080078
2013-10-09,29.984146118164066
2013-10-10,30.87137222290039
2013-10-11,30.90953254699707
2013-10-14,30.80458831787109
2013-10-15,30.594707489013672
2013-10-16,31.376983642578125
2013-10-17,31.510541915893555
2013-10-18,31.691802978515625
2013-10-21,31.262508392333984
2013-10-22,31.014461517333984
2013-10-23,31.10032844543457
2013-10-24,31.23388481140137
2013-10-25,30.976303100585934
